Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
12 Engineering etc,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
13 Other industry,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
14 Construction,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
15 Rail transport,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
16 Road transport,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
17 Domestic aviation,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
18 Other transp. serv.,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
19 Households,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
"20 Agriculture, forestry",1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
21 Fishing,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
22 Other final use,1179.9061,1378.7622,1428.136,1302.0463,1255.1942,1096.4001,1001.5162,1177.0876,1286.6978,1288.7516,1114.21,1182.9897,1204.1665,1225.9786,1248.4451,1271.5854,1295.4202,1319.9697,1345.256,1371.3008,1398.127,1425.7578,1454.2175,1483.5312,1513.7241,1544.823,1576.8547,1609.8474,1643.8298,1678.8318,1714.8838,1752.0176,1790.2651,1829.6602,1870.2368,1912.031,1955.0791,1999.4185,2045.0881,2092.1279,2140.5789,2190.4832,2241.8848,2294.8284,2349.3601,2405.5281,2463.3811,2522.9695,2584.3455,2647.5627,2712.6768,2779.7441,2848.8235,2919.9753,2993.2617,3068.7466,3146.4958,3226.5779,3309.0625,3394.0212,3481.5291
23 Non-energy use,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
24 Aviation bunkers,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
25 Marine bunkers,1434.6292,1695.7124,1756.6075,1601.5162,1543.8888,1348.5702,1236.1709,1459.5881,1595.5049,1598.0509,1381.6306,1466.9087,1488.0854,1509.8975,1532.364,1555.5044,1579.339,1603.8887,1629.1748,1655.2196,1682.0458,1709.6766,1738.1365,1767.4501,1797.6431,1828.7418,1860.7736,1893.7664,1927.7488,1962.7507,1998.8027,2035.9364,2074.1841,2113.5791,2154.1558,2195.95,2238.998,2283.3374,2329.0071,2376.0469,2424.4976,2474.4021,2525.8037,2578.7471,2633.2791,2689.447,2747.2998,2806.8882,2868.2644,2931.4817,2996.5957,3063.6631,3132.7424,3203.8943,3277.1807,3352.6655,3430.4148,3510.4968,3592.9814,3677.9402,3765.448
